"","date","experiment","round","assay","plate","condition","control","strain","row","col","trait","phenotype"
"122","20171009","abamectinNILs",1,"a",9,"DMSO","None","N2","E","2","mean.TOF",258.645
"123","20171009","abamectinNILs",1,"a",9,"DMSO","None","FX3448","E","6","mean.TOF",233.374269005848
"124","20171009","abamectinNILs",1,"a",9,"DMSO","None","CB4856","F","12","mean.TOF",245.190476190476
"125","20171009","abamectinNILs",1,"a",9,"DMSO","None","N2","F","2","mean.TOF",241.977099236641
"126","20171009","abamectinNILs",1,"a",9,"DMSO","None","FX3448","F","6","mean.TOF",224.997101449275
"127","20171009","abamectinNILs",1,"a",9,"DMSO","None","FX3518","G","1","mean.TOF",226.364806866953
"128","20171009","abamectinNILs",1,"a",9,"DMSO","None","CB4856","G","12","mean.TOF",271.472118959108
"129","20171009","abamectinNILs",1,"a",9,"DMSO","None","N2","G","2","mean.TOF",255.538732394366
"130","20171009","abamectinNILs",1,"a",9,"DMSO","None","FX3448","G","6","mean.TOF",239.061983471074
"131","20171009","abamectinNILs",1,"a",11,"DMSO","None","FX3518","A","1","mean.TOF",199.481012658228
"132","20171009","abamectinNILs",1,"a",11,"DMSO","None","CB4856","A","12","mean.TOF",259.186311787072
"133","20171009","abamectinNILs",1,"a",11,"DMSO","None","N2","A","2","mean.TOF",252.595141700405
"134","20171009","abamectinNILs",1,"a",11,"DMSO","None","FX3448","A","6","mean.TOF",220.574285714286
"135","20171009","abamectinNILs",1,"a",11,"DMSO","None","FX3518","B","1","mean.TOF",231.892976588629
"136","20171009","abamectinNILs",1,"a",11,"DMSO","None","CB4856","B","12","mean.TOF",282.763157894737
"137","20171009","abamectinNILs",1,"a",11,"DMSO","None","N2","B","2","mean.TOF",228.782945736434
"138","20171009","abamectinNILs",1,"a",11,"DMSO","None","FX3448","B","6","mean.TOF",208.81181619256
"139","20171009","abamectinNILs",1,"a",11,"DMSO","None","FX3518","C","1","mean.TOF",210.878542510121
"140","20171009","abamectinNILs",1,"a",11,"DMSO","None","CB4856","C","12","mean.TOF",258.662404092072
"141","20171009","abamectinNILs",1,"a",11,"DMSO","None","N2","C","2","mean.TOF",225.125954198473
"142","20171009","abamectinNILs",1,"a",11,"DMSO","None","FX3448","C","6","mean.TOF",206.466666666667
"143","20171009","abamectinNILs",1,"a",11,"DMSO","None","FX3518","D","1","mean.TOF",196.269058295964
